ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,Original_Taxon,Clade,Clade1,Clade2,Combined_clade,Higher_level_taxonomy,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_lat,P_Lon,Locality
50,WD81,1.87,2.72,1.14,0,0,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
51,WD92,1.72,2.31,0.85,0,0,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
52,WD93,1.49,2.7,0.73,5.56,4.242424242,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
53,WD95,1.31,2.61,0.73,0,5.263157895,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
54,WD119,1.42,4.08,0.87,0,15.2173913,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
55,W2M1 (Sudders theropod),2.705,5.272,1.39,0,9.090909091,Woodeaton,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurasssic,Bathonian,Bathonian,Great Oolite,White Limestone,Bladon,165.8,165.5,165.65,51.80778843,-1.229832702,29.04,19.3,Woodeaton
56,JR1,11.59,27.19,7.61,2.54,2.717391304,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
58,JR12,2.39,3.81,1.59,0,8.421052632,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
59,JR13,1.99,2.85,0.72,0,8.510638298,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
60,JR14,1.77,3.06,0.66,9.68,8.450704225,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
62,JR16,0.88,1.45,0.54,0,18.18181818,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
63,JR17,1.87,2.75,1.58,8.51,9.090909091,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
64,JR18,2,2.76,1.39,8.33,9.89,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
