ID,Register,Model,Class,Abelisauridae,Allosauridae,Carcharodontosauridae,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.3,Megalosauridae,Metriacanthosauridae,Neotheropoda,Neovenatoridae,Noasauridae,Non_abelisauroid_Ceratosauria,Non_tyrannosaurid_Tyrannosauroidea,Spinosauridae.Morphotype.1,Troodontidae,Tyrannosauridae.Morphotype.1,Tyrannosauridae.Morphotype.2,Tyrannosauridae.pmx.Morphotype.1
WD24,NHMUK PV R 37933,MDA,Dromaeosaur.Morphotype.2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD25,NHMUK PV R 37934,MDA,Dromaeosaur.Morphotype.2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD29,NHMUK PV R 37935,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD43,NHMUK PV R 37936,MDA,Dromaeosaur.Morphotype.2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD62,NHMUK PV R 37937,MDA,Dromaeosaur.Morphotype.2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD64,NHMUK PV R 37938,MDA,Troodontidae,0.0000,0.0000,0.0000,0.0000,0.0188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9812,0.0000,0.0000,0.0000
WD65,NHMUK PV R 37939,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD66,NHMUK PV R 37940,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD67,NHMUK PV R 37941,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD69,NHMUK PV R 37942,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
